nome,squadra,pv,mv,fm
Zappa,CAG,1.0,6.0,6.0
Obert,CAG,3.0,6.0,6.0
Felici,CAG,1.0,6.0,6.0
Borrelli,CAG,1.0,6.0,6.0
Mendy P.,CAG,3.0,6.0,6.0
Ramon,COM,3.0,6.0,6.0
Fadera,CAG,2.0,6.0,6.0
Liberali,COM,1.0,6.0,6.0
Monterisi,FRO,2.0,6.0,6.0
Hasa,FRO,1.0,6.0,6.0
Fini,FRO,3.0,6.0,6.0
Ghedjemis,FRO,1.0,6.0,6.0
Amorim,GEN,2.0,6.0,6.0
Messias,GEN,3.0,6.0,6.0
Akanji,INT,3.0,5.83,6.0
Bastoni,INT,3.0,6.0,6.0
Stones,INT,2.0,6.0,6.0
Pavard,INT,1.0,6.0,6.0
Luis Henrique,INT,2.0,6.0,6.0
Bonny,INT,1.0,6.0,6.0
McKennie,JUV,1.0,6.0,6.0
Zhegrova,JUV,1.0,6.0,6.0
Mandas,LAZ,3.0,6.33,6.0
Pedraza,LAZ,2.0,6.0,6.0
Marusic,LAZ,1.0,6.0,6.0
Taylor K.,LAZ,3.0,6.0,6.0
Noslin,LAZ,1.0,6.0,6.0
Gabbia,MIL,1.0,6.0,6.0
Pavlovic,MIL,3.0,6.17,6.0
Bartesaghi,MIL,2.0,6.0,6.0
Modric,MIL,3.0,6.0,6.0
Delli Carri,MON,1.0,6.0,6.0
Bakoune,MON,1.0,6.0,6.0
Mota,MON,1.0,6.0,6.0
Cutrone,MON,2.0,6.0,6.0
Santos A.,NAP,3.0,6.0,6.0
Lucca,NAP,2.0,6.0,6.0
Ndiaye,PAR,1.0,6.0,6.0
Valenti,PAR,1.0,6.0,6.0
Britschgi,PAR,2.0,6.0,6.0
Diallo O.,PAR,1.0,6.0,6.0
Koulierakis,ROM,1.0,6.0,6.0
Lipani,SAS,1.0,6.0,6.0
Bakola,SAS,2.0,6.0,6.0
Thorstvedt,SAS,3.0,6.0,6.0
Bowie,SAS,3.0,6.0,6.0
Ismajli,TOR,3.0,6.0,6.0
Pedersen,TOR,1.0,6.0,6.0
Solet,UDI,3.0,6.0,6.0
Abankwah,UDI,3.0,6.17,6.0
Bertola,UDI,1.0,6.0,6.0
Molina N.,ROM,2.0,6.0,6.0
Romero D.,PAR,2.0,6.0,6.0
Obrador,SAS,1.0,6.0,6.0
Jones C.,INT,2.0,6.0,6.0
Woltemade,JUV,1.0,6.0,6.0
Braganca,TOR,1.0,6.0,6.0
Patterson,TOR,1.0,6.0,6.0
Fernandez T.,VEN,1.0,6.0,6.0
Zappacosta,ATA,3.0,5.83,5.83
De Ketelaere,ATA,3.0,5.83,5.83
Scamacca,ATA,3.0,5.83,5.83
Cambiaghi,BOL,3.0,6.0,5.83
Zè Pedro,CAG,3.0,6.0,5.83
Winks,CAG,3.0,5.83,5.83
Cittadini,FRO,3.0,5.83,5.83
Baldanzi,GEN,3.0,5.83,5.83
Boga,JUV,3.0,5.83,5.83
Floriani Mussolini,LAZ,3.0,6.0,5.83
Veiga D.,LEC,3.0,5.67,5.83
Maleh,LEC,3.0,5.83,5.83
N'Dri,LEC,3.0,5.83,5.83
Birindelli,MON,3.0,5.83,5.83
Delprato,PAR,3.0,6.0,5.83
Ordonez C.,PAR,3.0,5.83,5.83
Svilar,ROM,3.0,6.17,5.83
Coco,TOR,3.0,5.83,5.83
Ebosse,UDI,3.0,5.83,5.83
Vojvoda,UDI,3.0,5.83,5.83
Miller L.,UDI,3.0,6.0,5.83
Vicario,JUV,3.0,6.17,5.83
Lucumì,JUV,2.0,6.0,5.75
Alhassane,BOL,2.0,5.75,5.75
Dominguez B.,SAS,2.0,5.75,5.75
Orsolini,BOL,2.0,5.75,5.75
Cichella,FRO,2.0,5.75,5.75
Norton-Cuffy,GEN,2.0,5.75,5.75
Kelly L.,JUV,2.0,5.75,5.75
Estupinan,MIL,2.0,6.0,5.75
McTominay,NAP,2.0,5.75,5.75
Lang,NAP,2.0,5.75,5.75
Bernabè,PAR,2.0,5.75,5.75
N'Dicka,ROM,2.0,5.75,5.75
Idzes,SAS,2.0,6.0,5.75
Zarraga,UDI,2.0,5.75,5.75
Gueye,UDI,2.0,5.75,5.75
Franjic,VEN,2.0,5.75,5.75
Basic,VEN,2.0,5.75,5.75
Terzic,FRO,2.0,5.75,5.75
