id,ruolo,nome,squadra,qta,fvm
p_provedel,P,Provedel,INT,1.0,5.0
p_pinsoglio,P,Pinsoglio,JUV,1.0,1.0
p_rugani,D,Rugani,JUV,1.0,3.0
p_cabal,D,Cabal,JUV,1.0,4.0
p_motta,P,Motta,LAZ,1.0,1.0
p_renzetti,P,Renzetti,LAZ,1.0,1.0
p_patric,D,Patric,LAZ,1.0,1.0
p_lazzari,D,Lazzari,LAZ,1.0,5.0
p_pellegrini_lu,D,Pellegrini Lu.,LAZ,1.0,7.0
p_przyborek,?,Przyborek,LAZ,1.0,5.0
p_fruchtl*,P,Fruchtl*,LEC,1.0,1.0
p_samooja*,P,Samooja*,LEC,1.0,1.0
p_jean,D,Jean,LEC,1.0,4.0
p_perez_m*,D,Perez M.*,LEC,1.0,1.0
p_ndaba,D,Ndaba,LEC,1.0,5.0
p_kaba,C,Kaba,LEC,1.0,2.0
p_fofana_sa,C,Fofana Sa.,LEC,1.0,1.0
p_terracciano,P,Terracciano,MIL,1.0,1.0
p_torriani,P,Torriani,MIL,1.0,1.0
p_diawara_s,D,Diawara S.,MIL,1.0,4.0
p_pizzignacco*,P,Pizzignacco*,MON,1.0,1.0
p_strajnar,P,Strajnar,MON,1.0,1.0
p_antov,D,Antov,MON,1.0,2.0
p_bakoune,D,Bakoune,MON,1.0,4.0
p_ciurria,?,Ciurria,MON,1.0,6.0
p_contini,P,Contini,NAP,1.0,1.0
p_marianucci,D,Marianucci,NAP,1.0,3.0
p_mazzocchi,D,Mazzocchi,VEN,1.0,10.0
p_ndiaye,D,Ndiaye,PAR,1.0,8.0
p_carboni_f,D,Carboni F.,PAR,1.0,3.0
p_de_marzi,P,De Marzi,ROM,1.0,1.0
p_gollini,P,Gollini,ROM,1.0,1.0
p_ziolkowski,D,Ziolkowski,MON,1.0,8.0
p_vaz*,?,Vaz*,ROM,1.0,4.0
p_russo_a,P,Russo A.,SAS,1.0,1.0
p_turati,P,Turati,SAS,1.0,1.0
p_missori*,D,Missori*,SAS,1.0,2.0
p_pieragnolo,D,Pieragnolo,SAS,1.0,1.0
p_boloca,C,Boloca,SAS,1.0,5.0
p_iannoni*,C,Iannoni*,SAS,1.0,1.0
p_moro_l*,?,Moro L.*,SAS,1.0,1.0
p_mascardi,P,Mascardi,TOR,1.0,5.0
p_paleari*,P,Paleari*,TOR,1.0,1.0
p_siviero,P,Siviero,TOR,1.0,1.0
p_biraghi,D,Biraghi,TOR,1.0,5.0
p_ilic,C,Ilic,LEC,1.0,10.0
p_anjorin*,C,Anjorin*,TOR,1.0,4.0
p_padelli,P,Padelli,UDI,1.0,1.0
p_piana,P,Piana,UDI,1.0,1.0
p_mlacic*,D,Mlacic*,UDI,1.0,3.0
p_camara_a*,C,Camara A.*,UDI,1.0,3.0
p_chakvetadze,?,Chakvetadze,UDI,1.0,6.0
p_bayo_v,?,Bayo V.,UDI,1.0,3.0
p_grandi,P,Grandi,VEN,1.0,1.0
p_pozzi,P,Pozzi,VEN,1.0,1.0
p_gomes,D,Gomes,VEN,1.0,1.0
p_bjarkason*,?,Bjarkason*,VEN,1.0,3.0
p_dagasso,C,Dagasso,VEN,1.0,1.0
p_duncan,C,Duncan,VEN,1.0,4.0
p_lisman,A,Lisman,VEN,1.0,1.0
p_vismara*,P,Vismara*,ATA,1.0,1.0
p_satalino,P,Satalino,SAS,1.0,1.0
p_aurelio,D,Aurelio,CAG,1.0,5.0
p_penev,P,Penev,LEC,1.0,1.0
p_pisseri,P,Pisseri,FRO,1.0,1.0
p_radunovic,P,Radunovic,CAG,1.0,1.0
p_de_martis,?,De Martis,PAR,1.0,1.0
p_montipò,P,Montipò,VEN,1.0,1.0
p_omar_fayed,D,Omar Fayed,FRO,1.0,1.0
p_bleve,P,Bleve,LEC,1.0,1.0
p_laerke,A,Laerke,LEC,1.0,1.0
p_comotto,C,Comotto,MIL,1.0,1.0
p_macchioni*,D,Macchioni*,SAS,1.0,1.0
p_mout,C,Mout,MON,1.0,12.0
p_terracciano_f,D,Terracciano F.,MIL,1.0,4.0
p_ciervo,?,Ciervo,CAG,1.0,1.0
p_grabara,P,Grabara,JUV,1.0,1.0
p_maye,D,Maye,MON,1.0,1.0
p_mrozek,P,Mrozek,UDI,1.0,1.0
p_dembelè_a,D,Dembelè A.,LEC,1.0,2.0
p_ghidotti,P,Ghidotti,PAR,1.0,1.0
p_robinho_junior,A,Robinho Junior,GEN,1.0,2.0
p_pompei,P,Pompei,ATA,1.0,1.0
p_sierro,C,Sierro,PAR,1.0,1.0
