id,ruolo,nome,squadra,qta,fvm
p_yeboah_j,A,Yeboah J.,VEN,10.0,30.0
p_chalobah_t,D,Chalobah T.,COM,10.0,32.0
p_romero_d,?,Romero D.,PAR,10.0,32.0
p_miranda_j,D,Miranda J.,BOL,9.0,25.0
p_dodò,D,Dodò,FIO,9.0,20.0
p_piccoli,?,Piccoli,BOL,9.0,50.0
p_ghedjemis,A,Ghedjemis,FRO,9.0,25.0
p_vasquez,D,Vasquez,GEN,9.0,30.0
p_diouf,C,Diouf,INT,9.0,43.0
p_sucic_p,C,Sucic P.,INT,9.0,20.0
p_di_gregorio*,P,Di Gregorio*,JUV,9.0,10.0
p_locatelli,C,Locatelli,JUV,9.0,25.0
p_thuram_k,C,Thuram K.,JUV,9.0,20.0
p_cancellieri,A,Cancellieri,LAZ,9.0,21.0
p_isaksen,A,Isaksen,LAZ,9.0,22.0
p_ratkov*,?,Ratkov*,LAZ,9.0,22.0
p_colpani,?,Colpani,MON,9.0,15.0
p_cutrone,?,Cutrone,MON,9.0,20.0
p_vergara,?,Vergara,NAP,9.0,34.0
p_valeri,D,Valeri,PAR,9.0,22.0
p_cristante,C,Cristante,ROM,9.0,29.0
p_volpato,?,Volpato,SAS,9.0,25.0
p_casadei,C,Casadei,TOR,9.0,23.0
p_okoye,P,Okoye,UDI,9.0,28.0
p_vojvoda,D,Vojvoda,UDI,9.0,19.0
p_couto,D,Couto,COM,9.0,32.0
p_pellegrini_lo,C,Pellegrini Lo.,ROM,9.0,20.0
p_osmajic,?,Osmajic,GEN,9.0,34.0
p_perri,P,Perri,TOR,9.0,23.0
p_zappacosta,D,Zappacosta,ATA,8.0,16.0
p_pasalic,C,Pasalic,ATA,8.0,21.0
p_lucumì,D,Lucumì,JUV,8.0,17.0
p_ferguson,C,Ferguson,BOL,8.0,23.0
p_odgaard,?,Odgaard,BOL,8.0,15.0
p_cambiaghi,A,Cambiaghi,BOL,8.0,25.0
p_dallinga*,?,Dallinga*,BOL,8.0,10.0
p_obert,D,Obert,CAG,8.0,15.0
p_romano,C,Romano,CAG,8.0,21.0
p_fazzini,C,Fazzini,CAG,8.0,28.0
p_bracaglia,D,Bracaglia,FRO,8.0,16.0
p_calò,C,Calò,FRO,8.0,27.0
p_kvernadze,A,Kvernadze,FRO,8.0,30.0
p_norton-cuffy*,D,Norton-Cuffy*,GEN,8.0,15.0
p_celik,D,Celik,JUV,8.0,16.0
p_cambiaso,D,Cambiaso,JUV,8.0,15.0
p_david*,?,David*,JUV,8.0,25.0
p_doekhi,D,Doekhi,LAZ,8.0,16.0
p_falcone,P,Falcone,LEC,8.0,26.0
p_tiago_gabriel,D,Tiago Gabriel,LEC,8.0,20.0
p_geubbels,?,Geubbels,LEC,8.0,21.0
p_bartesaghi,D,Bartesaghi,MIL,8.0,15.0
p_chukwueze,?,Chukwueze,MIL,8.0,20.0
p_gutierrez*,D,Gutierrez*,NAP,8.0,26.0
p_spinazzola,D,Spinazzola,NAP,8.0,24.0
p_lobotka,C,Lobotka,NAP,8.0,23.0
p_delprato,D,Delprato,PAR,8.0,21.0
p_koulierakis,D,Koulierakis,ROM,8.0,15.0
p_konè_i,C,Konè I.,SAS,8.0,20.0
p_comuzzo,D,Comuzzo,TOR,8.0,13.0
p_ismajli,D,Ismajli,TOR,8.0,13.0
p_karlstrom,C,Karlstrom,UDI,8.0,20.0
p_schmid,?,Schmid,FRO,8.0,23.0
p_bobcek,?,Bobcek,FRO,8.0,15.0
p_theate,D,Theate,BOL,8.0,20.0
p_hutchinson,A,Hutchinson,MIL,8.0,21.0
p_belghali,D,Belghali,TOR,8.0,18.0
p_diego_carlos,D,Diego Carlos,PAR,8.0,23.0
p_mbangula,A,Mbangula,BOL,8.0,22.0
p_sanchez_ro,P,Sanchez Ro.,COM,8.0,15.0
p_djimsiti*,D,Djimsiti*,ATA,7.0,16.0
p_hien,D,Hien,ATA,7.0,11.0
p_gaetano,C,Gaetano,ATA,7.0,30.0
p_zalewski,?,Zalewski,ATA,7.0,18.0
p_maldini,A,Maldini,CAG,7.0,25.0
p_mina,D,Mina,CAG,7.0,20.0
p_adopo,C,Adopo,CAG,7.0,13.0
p_winks,C,Winks,CAG,7.0,15.0
p_valle,D,Valle,COM,7.0,26.0
p_caqueret,C,Caqueret,COM,7.0,12.0
p_dragusin,D,Dragusin,FIO,7.0,20.0
p_jimenez_a,D,Jimenez A.,FIO,7.0,17.0
p_fagioli,C,Fagioli,FIO,7.0,18.0
p_ndour,C,Ndour,FIO,7.0,18.0
p_oyono_a,D,Oyono A.,FRO,7.0,10.0
p_bijlow,P,Bijlow,GEN,7.0,12.0
p_frendrup,C,Frendrup,GEN,7.0,19.0
p_vitinha_o,A,Vitinha O.,GEN,7.0,12.0
p_carlos_augusto,D,Carlos Augusto,INT,7.0,20.0
p_bonny,?,Bonny,INT,7.0,15.0
p_koopmeiners,C,Koopmeiners,JUV,7.0,20.0
p_tavares_n,D,Tavares N.,LAZ,7.0,27.0
p_rovella,C,Rovella,LAZ,7.0,16.0
p_coulibaly_l,C,Coulibaly L.,LEC,7.0,17.0
p_gabbia,D,Gabbia,MIL,7.0,14.0
p_mangas,D,Mangas,MON,7.0,15.0
p_akinsanmiro,C,Akinsanmiro,MON,7.0,11.0
p_varela_g,?,Varela G.,MON,7.0,36.0
p_suzuki*,P,Suzuki*,PAR,7.0,20.0
p_bernabè,C,Bernabè,PAR,7.0,31.0
p_pisilli,C,Pisilli,ROM,7.0,19.0
p_muric,P,Muric,SAS,7.0,15.0
p_idzes,D,Idzes,SAS,7.0,19.0
p_doig,D,Doig,SAS,7.0,10.0
p_adzic,C,Adzic,SAS,7.0,16.0
p_coco,D,Coco,TOR,7.0,14.0
p_rrahmani_al,?,Rrahmani Al.,VEN,7.0,12.0
p_sow,C,Sow,GEN,7.0,14.0
p_cissè_a,?,Cissè A.,MIL,7.0,40.0
p_elmas,?,Elmas,ATA,7.0,22.0
p_monteiro_j,A,Monteiro J.,LEC,7.0,21.0
p_sarr_p,C,Sarr P.,JUV,7.0,25.0
p_gnonto,A,Gnonto,FIO,7.0,23.0
p_el_shaarawy,?,El Shaarawy,GEN,7.0,20.0
p_kolasinac,D,Kolasinac,ATA,6.0,8.0
p_ahanor*,D,Ahanor*,ATA,6.0,13.0
p_holm,D,Holm,BOL,6.0,13.0
p_zortea,D,Zortea,BOL,6.0,19.0
p_pobega,C,Pobega,BOL,6.0,12.0
p_kofler,D,Kofler,CAG,6.0,8.0
p_zè_pedro,D,Zè Pedro,CAG,6.0,13.0
p_mutandwa*,?,Mutandwa*,CAG,6.0,7.0
p_kaiki,D,Kaiki,COM,6.0,13.0
p_milla,C,Milla,COM,6.0,28.0
p_liberali,?,Liberali,COM,6.0,17.0
p_oulai,C,Oulai,FIO,6.0,18.0
p_calvani,D,Calvani,FRO,6.0,13.0
p_monterisi,D,Monterisi,FRO,6.0,13.0
p_zerbin,?,Zerbin,FRO,6.0,12.0
p_marcandalli,D,Marcandalli,GEN,6.0,14.0
p_ellertsson,C,Ellertsson,GEN,6.0,14.0
p_pavard,D,Pavard,INT,6.0,14.0
p_perin*,P,Perin*,JUV,6.0,5.0
p_zhegrova,?,Zhegrova,JUV,6.0,14.0
p_boga,A,Boga,JUV,6.0,27.0
p_romagnoli*,D,Romagnoli*,LAZ,6.0,20.0
p_pedraza,D,Pedraza,LAZ,6.0,14.0
p_marusic,D,Marusic,LAZ,6.0,20.0
p_noslin,A,Noslin,LAZ,6.0,8.0
p_pierotti,?,Pierotti,LEC,6.0,19.0
p_stulic,?,Stulic,LEC,6.0,11.0
p_tomori,D,Tomori,MIL,6.0,8.0
p_gimenez*,?,Gimenez*,MIL,6.0,10.0
p_pessina,C,Pessina,MON,6.0,15.0
p_buongiorno,D,Buongiorno,NAP,6.0,15.0
p_daffara,P,Daffara,PAR,6.0,7.0
p_circati*,D,Circati*,PAR,6.0,18.0
p_matic,C,Matic,SAS,6.0,15.0
p_bakola,C,Bakola,SAS,6.0,14.0
p_cacciamani,?,Cacciamani,TOR,6.0,28.0
p_fitz-jim,C,Fitz-Jim,TOR,6.0,18.0
p_oristanio,?,Oristanio,TOR,6.0,12.0
p_zapata_d,?,Zapata D.,TOR,6.0,12.0
p_kristensen_t,D,Kristensen T.,ATA,6.0,20.0
p_piotrowski,C,Piotrowski,UDI,6.0,14.0
p_unai_gomez,?,Unai Gomez,UDI,6.0,14.0
p_stankovic_f,P,Stankovic F.,VEN,6.0,11.0
p_basic,C,Basic,VEN,6.0,19.0
p_busio,C,Busio,VEN,6.0,14.0
p_robinson_j,A,Robinson J.,MON,6.0,12.0
p_obrador,D,Obrador,SAS,6.0,13.0
p_fortini,?,Fortini,TOR,6.0,12.0
p_leysen_f,D,Leysen F.,SAS,6.0,12.0
p_badiashile,D,Badiashile,NAP,6.0,18.0
p_sutalo_j,D,Sutalo J.,LAZ,6.0,19.0
p_balerdi,D,Balerdi,ROM,6.0,11.0
p_caleta-car,D,Caleta-Car,SAS,6.0,11.0
p_zeballos,A,Zeballos,MON,6.0,17.0
p_sugawara,D,Sugawara,CAG,6.0,15.0
p_braganca,C,Braganca,TOR,6.0,19.0
p_leite,D,Leite,LAZ,6.0,14.0
p_bellanova,D,Bellanova,ATA,5.0,17.0
p_bernasconi,D,Bernasconi,ATA,5.0,18.0
p_sulemana_k,A,Sulemana K.,ATA,5.0,5.0
p_heggem,D,Heggem,BOL,5.0,15.0
p_rodriguez_ju,D,Rodriguez Ju.,CAG,5.0,14.0
p_felici,?,Felici,CAG,5.0,7.0
p_mendy_p,?,Mendy P.,CAG,5.0,14.0
p_kempf,D,Kempf,COM,5.0,13.0
p_valdepenas,D,Valdepenas,FIO,5.0,13.0
p_viery,D,Viery,FIO,5.0,12.0
p_palmisani,P,Palmisani,FRO,5.0,12.0
p_fini,?,Fini,FRO,5.0,13.0
p_masini,C,Masini,FRO,5.0,8.0
p_meichtry,?,Meichtry,GEN,5.0,11.0
p_messias,?,Messias,GEN,5.0,8.0
p_luis_henrique,?,Luis Henrique,INT,5.0,12.0
p_gatti,D,Gatti,JUV,5.0,10.0
p_kelly_l,D,Kelly L.,JUV,5.0,12.0
p_gaspar_k,D,Gaspar K.,LEC,5.0,12.0
p_veiga_d,D,Veiga D.,LEC,5.0,12.0
p_gallo,D,Gallo,LEC,5.0,12.0
p_de_winter,D,De Winter,MIL,5.0,25.0
p_jashari,C,Jashari,MIL,5.0,13.0
p_birindelli,D,Birindelli,MON,5.0,12.0
p_mota,A,Mota,MON,5.0,8.0
p_beukema,D,Beukema,NAP,5.0,12.0
p_neres,A,Neres,NAP,5.0,20.0
p_keita_m,C,Keita M.,PAR,5.0,15.0
p_nicolussi_caviglia,C,Nicolussi Caviglia,PAR,5.0,16.0
p_ondrejka*,A,Ondrejka*,PAR,5.0,18.0
p_ghilardi,D,Ghilardi,ROM,5.0,10.0
p_comert,D,Comert,TOR,5.0,14.0
p_pedersen*,D,Pedersen*,TOR,5.0,12.0
p_gineitis,C,Gineitis,TOR,5.0,12.0
p_njie,A,Njie,FIO,5.0,25.0
p_bella-kotchap,D,Bella-Kotchap,VEN,5.0,13.0
p_correia_t,D,Correia T.,VEN,5.0,12.0
p_hainaut,D,Hainaut,VEN,5.0,12.0
p_haps,D,Haps,VEN,5.0,10.0
p_sohm,C,Sohm,VEN,5.0,11.0
p_perez_k,C,Perez K.,VEN,5.0,15.0
