nome,squadra,pv,mv,fm
Vergara,NAP,9.0,6.11,6.33
Vaz,ROM,9.0,6.0,6.33
Thorsby,CRE,22.0,5.95,6.32
Diao,COM,16.0,5.94,6.31
Thuram K.,JUV,35.0,6.03,6.31
Bastoni,INT,28.0,6.16,6.3
Kristensen T.,UDI,28.0,6.04,6.29
El Shaarawy,ROM,18.0,6.08,6.28
Zappacosta,ATA,35.0,6.03,6.27
Pasalic,ATA,32.0,5.94,6.27
Fagioli,FIO,33.0,6.08,6.27
David,JUV,30.0,5.7,6.27
Coulibaly L.,LEC,33.0,6.03,6.27
Di Lorenzo,NAP,26.0,6.02,6.27
Brescianini,FIO,19.0,5.95,6.26
Ekhator,GEN,25.0,5.94,6.26
Gandelman,LEC,17.0,5.85,6.26
Gatti,JUV,16.0,5.97,6.25
Gilmour,NAP,14.0,6.07,6.25
Lang,NAP,14.0,5.96,6.25
Benedyczak,PAR,10.0,5.9,6.25
Rui Modesto,UDI,2.0,5.75,6.25
Cheddira,LEC,24.0,5.75,6.25
Pedro Felipe,SAS,2.0,5.75,6.25
Baldanzi,GEN,17.0,6.0,6.24
Athekame,MIL,19.0,5.89,6.24
Valle,COM,26.0,6.06,6.23
Gudmundsson A.,FIO,32.0,5.77,6.23
Pobega,BOL,23.0,5.87,6.22
Johnsen,CRE,9.0,5.78,6.22
Gosens,FIO,25.0,5.86,6.22
Miretti,JUV,16.0,6.0,6.22
Guendouzi,LAZ,16.0,6.06,6.22
Vandeputte,CRE,31.0,6.0,6.21
Locatelli,JUV,36.0,6.28,6.21
Belghali,VER,26.0,6.1,6.21
Samardzic,ATA,22.0,5.86,6.2
Cristante,ROM,37.0,6.09,6.2
Zapata D.,TOR,23.0,5.89,6.2
Harrison,FIO,15.0,5.83,6.2
Mina,CAG,26.0,6.02,6.19
Sulemana K.,ATA,20.0,5.92,6.18
Idrissi R.,CAG,19.0,5.95,6.18
Cancellieri,LAZ,28.0,5.82,6.18
Zanoli,UDI,19.0,5.95,6.18
Njie,TOR,11.0,5.86,6.18
Bernasconi,ATA,22.0,6.11,6.18
Buksa,UDI,22.0,5.84,6.18
Piccoli,FIO,27.0,5.7,6.17
Vojvoda,COM,27.0,5.94,6.17
Vasquez,GEN,36.0,6.11,6.17
Celik,ROM,32.0,6.08,6.17
Zaragoza,ROM,3.0,6.0,6.17
Bakola,SAS,3.0,6.17,6.17
Moro N.,BOL,28.0,5.96,6.16
Sucic P.,INT,28.0,5.96,6.16
Baschirotto,CRE,29.0,5.98,6.16
Ricci S.,MIL,29.0,5.98,6.16
Kabasele,UDI,29.0,5.97,6.16
Fadera,SAS,24.0,5.92,6.15
Dallinga,BOL,18.0,5.81,6.14
Leris,PIS,32.0,5.89,6.14
Ramon,COM,32.0,6.16,6.14
Nzola,SAS,28.0,5.86,6.14
Diego Carlos,COM,25.0,6.18,6.14
Lobotka,NAP,31.0,6.08,6.13
Valeri,PAR,34.0,6.1,6.13
N'Dri,LEC,17.0,5.85,6.12
Maripan,TOR,26.0,5.96,6.12
Dodò,FIO,36.0,6.07,6.11
Norton-Cuffy,GEN,27.0,5.94,6.11
Beukema,NAP,22.0,5.89,6.11
Delprato,PAR,35.0,6.01,6.11
Folorunsho,CAG,26.0,5.92,6.1
Kuhn,COM,15.0,5.83,6.1
Kelly L.,JUV,35.0,6.04,6.1
Folino,CRE,11.0,5.82,6.09
Carlos Augusto,INT,28.0,6.05,6.09
Musah,ATA,16.0,5.94,6.09
Cuadrado,PIS,16.0,6.0,6.09
Bartesaghi,MIL,31.0,6.0,6.08
Serdar,VER,18.0,5.83,6.08
Ilkhan,TOR,18.0,5.92,6.08
Parisi,FIO,23.0,6.11,6.07
Joao Mario,BOL,15.0,5.87,6.07
Sottil,LEC,21.0,5.86,6.07
Gutierrez,NAP,22.0,5.89,6.07
Ngonge,TOR,17.0,5.88,6.06
Martin,GEN,29.0,5.91,6.05
Fofana Y.,MIL,33.0,5.83,6.05
El Aynaoui,ROM,21.0,5.93,6.05
Bernede,VER,31.0,5.92,6.05
Freuler,BOL,28.0,6.02,6.04
Luis Henrique,INT,27.0,5.87,6.04
Tiago Gabriel,LEC,36.0,6.03,6.04
Keita M.,PAR,36.0,6.0,6.04
Tramoni M.,PIS,25.0,5.76,6.04
Mosquera,VER,14.0,5.93,6.04
Zhegrova,JUV,12.0,6.04,6.04
Miranda J.,BOL,31.0,5.94,6.03
Zappa,CAG,25.0,5.94,6.02
Deiola,CAG,20.0,6.05,6.02
Frendrup,GEN,36.0,6.0,6.01
De Roon,ATA,34.0,5.97,6.0
Fabbian,FIO,22.0,5.75,6.0
Dominguez B.,BOL,13.0,5.81,6.0
De Vrij,INT,8.0,6.06,6.0
Milik,JUV,2.0,6.0,6.0
Vecino,LAZ,12.0,5.96,6.0
Zaccagni,LAZ,26.0,5.92,6.0
Pierret,LEC,1.0,6.0,6.0
Terracciano,MIL,2.0,6.0,6.0
Almqvist,PAR,10.0,5.9,6.0
Kastanos,VER,2.0,6.0,6.0
Kouamè,FIO,1.0,6.0,6.0
Kouadio,FIO,1.0,6.0,6.0
Sala A.,LEC,4.0,5.75,6.0
Matic,SAS,34.0,6.0,6.0
Sarmiento J.,CRE,5.0,6.0,6.0
Cremaschi,PAR,2.0,6.0,6.0
Arena A.,ROM,1.0,6.0,6.0
Isaac,VER,1.0,6.0,6.0
Zatterstrom,GEN,2.0,6.0,6.0
Albarracin,CAG,2.0,6.0,6.0
Vermesan,VER,1.0,6.0,6.0
Ndour,FIO,30.0,5.72,5.98
Circati,PAR,31.0,5.98,5.98
Stulic,LEC,31.0,5.61,5.98
Nicolussi Caviglia,PAR,23.0,5.85,5.98
Elmas,NAP,31.0,5.84,5.98
Luperto,CRE,34.0,5.91,5.97
Acerbi,INT,17.0,6.06,5.97
Cambiaso,JUV,36.0,5.79,5.97
Gallo,LEC,37.0,5.93,5.97
Idzes,SAS,35.0,6.01,5.97
Hien,ATA,28.0,6.02,5.96
Smolcic I.,COM,25.0,6.08,5.96
Van Der Brempt,COM,14.0,5.96,5.96
Coco,TOR,35.0,5.89,5.96
