nome,squadra,pv,mv,fm
Pizarro,UDI,0.0,0.0,0.0
Tchatchoua,VER,0.0,0.0,0.0
Santiago,VER,0.0,0.0,0.0
Cissè A.,VER,0.0,0.0,0.0
Rocha Livramento,VER,0.0,0.0,0.0
Vasquez D.,ROM,0.0,0.0,0.0
Nunziante,UDI,0.0,0.0,0.0
Lezzerini,FIO,0.0,0.0,0.0
Godfrey,ATA,0.0,0.0,0.0
Rog,CAG,0.0,0.0,0.0
Frigan,PAR,0.0,0.0,0.0
Cuenca H.,GEN,0.0,0.0,0.0
Toniolo,VER,0.0,0.0,0.0
Cavlina,COM,0.0,0.0,0.0
Balentien,MIL,0.0,0.0,0.0
Odogu,MIL,0.0,0.0,0.0
Palacios T.,INT,0.0,0.0,0.0
Ferrante,NAP,0.0,0.0,0.0
Calligaris,INT,0.0,0.0,0.0
Guaita,PAR,0.0,0.0,0.0
Tornqvist,COM,0.0,0.0,0.0
Sherri,CAG,0.0,0.0,0.0
Tchoca,TOR,0.0,0.0,0.0
Przyborek,LAZ,0.0,0.0,0.0
Raterink,CAG,0.0,0.0,0.0
Lahdo,COM,0.0,0.0,0.0
Siviero,TOR,0.0,0.0,0.0
Pannozzo,LAZ,0.0,0.0,0.0
Giacomone,LAZ,0.0,0.0,0.0
Mosconi,INT,0.0,0.0,0.0
